id,task,type,input,output,source
T0048,COMPLETION_EASY,SHA,"(3) 동의 사항. 본 계약 기간 동안, 회사에 의해 또는 회사를 대리하여 [BLANK]의 [BLANK] 없이 부록 2에 기재된 어떠한 행위도 취해질 수 없다. ","소수주주, 사전 서면 동의",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0049,COMPLETION_HARD,SHA,"(3) 동의 사항. 본 계약 기간 동안, 회사에 의해 또는 회사를 대리하여 소수주주의 사전 서면 동의 없이 부록 2에 기재된 어떠한 행위도 취해질 수 없다. 
부록 2. 동의 사항
? 신규 지분증권의 발행(적격 IPO, 적격 간주 IPO 또는 소수주주 주도 IPO에서 발행되는 지분증권은 포함되지 않음)
? ","?단일 거래 또는 일련의 관련 거래에서 전체 (i) 자산총액, (ii) 매출총액 및 (iii) 소수주주에게 동의요청서가 교부되는 날의 직전일 기준 회사의 부채총액 중 낮은 금액의 [?]%에 해당하는 금액을 초과하는 회사의 주요 자산의 매각, 임대, 양도, 독점 라이선스 또는 기타 처분
?단일 거래 또는 일련의 관련 거래에서 전체 (i) 자산총액, (ii) 매출총액 및 (iii) 소수주주에게 동의요청서가 교부되는 날의 직전일 기준 회사의 부채총액 중 낮은 금액의 [?]%에 해당하는 금액을 초과하는 개별 자본 지출
?단일 거래 또는 일련의 관련 거래에서 전체 (i) 자산총액, (ii) 매출총액 및 (iii) 소수주주에게 동의요청서가 교부되는 날의 직전일 기준 회사의 부채총액 중 낮은 금액의 [?]%에 해당하는 금액을 초과하는 대출, 보증, 선급금 또는 출자금(단, 만기가 1년 이내인 단기 대출 제외)
?과거 관행에 부합하는 통상적인 사업 과정에서의 정상거래(예를 들어, 원재료, 재공품, 완제품 및 제품의 판매 및 구매, 상표의 사용, 허여 또는 라이선스 제공, 연구개발, 공정관리, 기술지원, 유틸리티 제공, 토지, 시설 또는 건물의 임대, 보관 및 사업 운영과 관련된 기타 서비스 등)을 제외하고, 단일 거래 또는 일련의 관련 거래에서 총 [?]억원을 초과하는 회사의 계열회사와의 거래
?상법상 (a) 주주총회에 출석한 의결권 있는 주식 총수의 3분의 2 이상 및 (b) 의결권 있는 발행주식의 3분의 1 이상의 주식을 보유한 주주들의 찬성에 의한 주주 승인이 필요한 것으로서 아래 명시된 사항:
(i) 정관의 개정(제434조);
(ii) 회사 사업의 전부 또는 중요한 일부의 양도에 대한 승인(제374조 제1항 제1호)
(iii) 전체 사업 임대, 해당 사업에 대한 경영권 부여, 해당 사업과 관련된 모든 손익을 제3자와 분담하는 계약 또는 이와 유사한 계약의 체결, 변경, 해지 등의 승인(제374조 제1항 제2호)
(iv) 회사의 사업에 중대한 영향을 미치는 다른 회사의 사업의 전부 또는 일부의 취득에 대한 승인(제374조 제1항 제3호)
(v) 이사 또는 감사의 해임(제385조 제1항)
(vi) 주식의 액면미달 발행(제417조 제1항)
(vii) 납입 자본금의 감소(제438조 제1항)
(viii) 회사의 해산 및 청산(제518조)
(ix) 합병 또는 분할에 대한 승인(제522조 제3항, 제530조의3 제2항)
(x) 주식의 포괄적 교환에 대한 승인(제360조의3 제2항)
(xi) 주식의 포괄적 이전에 대한 승인(제360조의16 제2항)
(xii) 주식매수선택권의 부여(제340조의2 제1항)
(xiii) 정관에 명시되지 않은 제3자에 대한 전환사채 발행 시 전환 조건 및 내용에 대한 결정(제513조 제3항)
(xiv) 정관에 명시되지 않은 제3자에 대한 신주인수권부사채 발행 시 신주인수권의 내용에 대한 결정(제516조의2 제4항)
(xv) 해산 후 회사의 계속(제519조)
(xvi) 주식의 분할(제329조의2)
",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0050,COMPLETION_MEDIUM,SHA,"지배주주는 IPO를 추진함에 있어서, 관련 법령 또는 상장 관련 기관의 규정이 허용하는 범위 내에서 소수주주와의 협의를 통하여 소수주주가 보유하는 회사 주식의 구주 매출이 지배주주(그 특수관계인 포함)에 우선하여 이루어지고, 그 수량이 최대화될 수 있도록 최대한 노력하기로 한다. 또한, 지배주주는 IPO와 관련하여, 관련 법령 및 상장 관련 기관의 규정이 허용하는 범위 내에서, 소수주주가 보유하는 회사 주식의 전부 또는 일부에 대하여 의무보유(보호예수)가 [BLANK] 최대한 노력하기로 한다. ","요구되지 아니하도록 하거나 요구된다 하더라도 그 범위(기간, 대상 주식 수 등)가 최소화될 수 있도록",가이드라인
T0051,DEFINITION,SPA,주식매매계약서(SPA)에서 '일본 기업회계기준(JGAAP)'이란?,일본에서 일반적인 인정되는 회계원칙을 의미한다.,KC_SMF-#62048-v3-_Japan_ KTR_ 주식매매계약서 (Pro-Buyer_ 70%_ Pre-Closing Adjustment (Adjusted EBIT)_ Job Security_ Escrow_ 2단계 종결) _Pre-Execution__ 30% 추가 매매 예정
T0052,DEFINITION,SPA,주식매매계약서(SPA)에서 'Long Stop Date'이란?,본 계약 체결일로부터 90일째 되는 날을 의미한다.,KC_SMF-#62048-v3-_Japan_ KTR_ 주식매매계약서 (Pro-Buyer_ 70%_ Pre-Closing Adjustment (Adjusted EBIT)_ Job Security_ Escrow_ 2단계 종결) _Pre-Execution__ 30% 추가 매매 예정
T0053,DEFINITION,SPA,주식매매계약서(SPA)에서 '조직서류'란?,"특정 인(人)의 설립, 형성 및 조직과 관련하여 체결, 채택, 제출된 정관, 내규, 이사회 결의에 관한 규정 및 기타 유사한 서류, 증서 또는 인증서와 그 수정본을 포함한다.",KC_SMF-#62048-v3-_Japan_ KTR_ 주식매매계약서 (Pro-Buyer_ 70%_ Pre-Closing Adjustment (Adjusted EBIT)_ Job Security_ Escrow_ 2단계 종결) _Pre-Execution__ 30% 추가 매매 예정
T0054,DEFINITION,SPA,주식매매계약서(SPA)에서 '중대하게 불리한 영향'이란?,"개별적 또는 다른 모든 영향과 함께 전체적으로 (a) 회사의 상태(재무상태 또는 기타), 재산, 자산, 채무, 사업, 운영, 실적 또는 합리적 전망에 대하여 중대하게 부정적인 영향을 미치거나 또는 중대하게 부정적인 영향을 미칠 것으로 합리적으로 예견되는 경우, 또는 (b) 본건 거래의 완료를 방해 또는 중대하게 지연시키거나 방해 또는 중대한 지연이 합리적으로 예견되는 경우로, 일체의 변화, 사건, 위반, 부정확, 영향, 상황 또는 불가항력(지진을 포함하되 이에 한정되지 아니한다)(이하 ""영향"")을 의미한다.",KC_SMF-#62048-v3-_Japan_ KTR_ 주식매매계약서 (Pro-Buyer_ 70%_ Pre-Closing Adjustment (Adjusted EBIT)_ Job Security_ Escrow_ 2단계 종결) _Pre-Execution__ 30% 추가 매매 예정
T0055,DEFINITION,SPA,주식매매계약서(SPA)에서 '인(人)'이란?,"일체의 개인, 조합, 유한회사, 회사, 사단, 합자회사, 신탁, 단체, 합작투자회사, 노동단체, 비법인 조직, 또는 정부기관을 의미한다.",KC_SMF-#62048-v3-_Japan_ KTR_ 주식매매계약서 (Pro-Buyer_ 70%_ Pre-Closing Adjustment (Adjusted EBIT)_ Job Security_ Escrow_ 2단계 종결) _Pre-Execution__ 30% 추가 매매 예정
T0056,DEFINITION,SPA,주식매매계약서(SPA)에서 '대표자'란?,"임직원, 대리인, 대표자 및 자문사(그 임직원과 구성원을 포함하며 변호사, 회계사, 컨설턴트, 투자 은행가 등을 포함)를 의미한다.",KC_SMF-#68594-v7-주식매매계약서 (100%_ Pre-Closing Adjustment (확인실사)_ 계약금) _Execution_
T0057,DEFINITION,SPA,주식매매계약서(SPA)에서 '최대주주가 아는 한'이란?,최대주주 또는 대상회사의 임원 중 한 명 이상이 실제로 알고 있거나 합리적으로 알 수 있었던 것을 의미한다.,KC_SMF-#68594-v7-주식매매계약서 (100%_ Pre-Closing Adjustment (확인실사)_ 계약금) _Execution_
T0058,DEFINITION,SPA,주식매매계약서(SPA)에서 '법규'란?,"(a) 한국 또는 외국의 헌법, 법률, 명령, 조례, 규칙, 고시, 지침 기타 법규적 효력이 있는 규범, (b) 정부기관의 규정, 명령 또는 구속력 있는 조치, (c) 법원 또는 중재기관의 판결, 결정, 명령, 처분 및 중재판정을 의미한다.",KC_SMF-#68594-v7-주식매매계약서 (100%_ Pre-Closing Adjustment (확인실사)_ 계약금) _Execution_
T0059,DEFINITION,SPA,주식매매계약서(SPA)에서 '환경보건안전법률'이란?,"(i) 유해물질의 배출 또는 배출 위험, (ii) 그와 같은 배출의 신고, 허가 및/또는 정화 또는 유해물질의 발생, 사용, 보관, 처분, 운송 또는 처리, (iii) 산업보건안전 법령 및 규정 및 (iv) 제품 관련 보건안전 법률 및 규정과 관련된 대한민국 또는 기타 관련 관할권의 모든 적용법률 또는 기타 법적 구속력을 갖는 요건을 의미한다.",KC_SMF-#86775-v3-_KTR_ 주식매매계약서 (Pro-Seller_ 100%_ Price Adjustment(Tax Indemnification)_ Job Security_ W&I Insurance_ 대상회사 1) _Execution_
T0060,DEFINITION,SPA,주식매매계약서(SPA)에서 '정부의 인가'란?,"정부기관이 발급, 부여 기타 수여하는 승인, 인가, 동의, 명령, 허가, 자격, 면제, 등록, 통지, 기타 신고 수리를 의미한다.",KC_SMF-#86775-v3-_KTR_ 주식매매계약서 (Pro-Seller_ 100%_ Price Adjustment(Tax Indemnification)_ Job Security_ W&I Insurance_ 대상회사 1) _Execution_
T0061,DEFINITION,SPA,주식매매계약서(SPA)에서 '정부관리'란?,"(i) 정부당국에 대하여 관리의 자격으로 행위 하는 임직원, 대리인이나 기타 인, (ii) 정부당국에서 정당, 정당 관리 또는 정치직의 후보, 또는 (iii) 본 용어의 정의 (i)이나 (ii)에 기재된 자가 전부 또는 일부 소유하거나 지배하는 회사, 사업, 기업이나 기타 주체를 의미한다.",KC_SMF-#86775-v3-_KTR_ 주식매매계약서 (Pro-Seller_ 100%_ Price Adjustment(Tax Indemnification)_ Job Security_ W&I Insurance_ 대상회사 1) _Execution_
T0062,DEFINITION,SPA,주식매매계약서(SPA)에서 '부채'란?,"주어진 시점에 여하한 자에 대하여 (a) 우발적인지 여부를 불문하고 차용금에 대한 부채 일체, (b) 재산 또는 서비스의 이연구매가격에 대한 의무 일체, (c) 어음, 채권, 사채, 기타 유사한 증서로 증명되는 의무 일체, (d) 그 자가 취득한 재산과 관련하여 여하한 조건부 매매 또는 기타 권원유보계약에 의해 설정되거나 발생하는 부채 일체, (e) 적용 회계기준에 따라 자본리스로 기록되었거나 기록되어야 하는 리스에 따라 임차인으로서 부담하는 의무 일체, (f) 우발적인지 여부를 불문하고 인수, 신용장 등에 의한 의무 일체 및 (g) 위 (a) 내지 (f)항에 명시된 타인의 모든 부채 또는 의무에 대한 직접 또는 간접적인 보증을 의미한다.",KC_SMF-#86775-v3-_KTR_ 주식매매계약서 (Pro-Seller_ 100%_ Price Adjustment(Tax Indemnification)_ Job Security_ W&I Insurance_ 대상회사 1) _Execution_
T0063,DEFINITION,SPA,주식매매계약서(SPA)에서 '지적재산'이란?,"라이선스 하에 소유 또는 사용 용도로 보유된 것인지 여부, 현재 존재, 등록, 유˙무형 여부, 및 그 형식이나 매체를 불문한, 어느 관할권의 여하한 종류와 성격의 지적재산 및 기타 이와 유사한 전유적 권리를 의미하며, 그러한 권리는 (i) 특허, 특허출원, 및 그와 관련된 모든 잠재성, 지속성, 일부 지속성, 구분, 재발행, 재조사, 대체, 연장, 발명, 발명공개, 발견 및 개량(특허 가능 여부를 불문함); (ii) 상표, 서비스표, 디자인, 의장권, 상호, 브랜드명, 영업표지권, 로고 및 슬로건; (iii) 인터넷 도메인명, 해시태그, 소셜미디어 계정, 웹 주소, 및 이와 유사한 성격의 일반적인 무형자산; (iv) 저작권, 저작권 등록과 출원, 및 저작물성 사안; (v) 영업비밀, 비밀정보나 전유적 정보, 기술, 노하우, 전유적 프로세스 및 기법, 연구개발 정보, 공식, 모델, 방법론 및 도면(plan); (vi) 데이터베이터, 컴퓨터 소프트웨어, 운영체제, 서버, 소스코드 및 규격, 및 (vii) 상기 여하한 사항에 대한 집행과 관련된 과거, 현재, 미래의 모든 청구, 소송사유 및 방어와 관련된 권리를 포함한다.",KC_SMF-#86775-v3-_KTR_ 주식매매계약서 (Pro-Seller_ 100%_ Price Adjustment(Tax Indemnification)_ Job Security_ W&I Insurance_ 대상회사 1) _Execution_
T0064,DEFINITION,SPA,주식매매계약서(SPA)에서 '부패방지법령'이란?,"(i) OECD국제상거래에 있어서 외국공무원에 대한 뇌물제공행위 방지에 관한 협약(Convention on Combating Bribery of Foreign Public Officials in International Business Transactions)에 명시된 원칙 및 이를 이행하기 위해 제정된 모든 국내·외 법령; (ii) 미국 해외부패방지법(1977년)(Foreign Corrupt Practices Act of 1977 (U.S.)(변경본이나 그에 따른 여하한 규칙이나 규정 포함); (iii) 영국 뇌물법(2010년)(UK Bribery Act); 및 (iv) 한국의 부패방지 및 뇌물금지법, 부정청탁 및 금품 등 수수의 금지에 관한 법률, 공직자윤리법 (v) 대상회사들 및 매도인에게 적용되는 여하한 관할권의 정부당국의 기타 부패방지 및/또는 뇌물방지 관련 법규정이나 명령  등 기타 인의 행위에 영향력을 행사하거나 달리 사업상의 이익을 득하기 위해 정부관리나 해당 인에게 직, 간접적으로 유가물(선물이나 향응 등)을 부패한 방식으로 지급, 제공하거나 그러한 지급이나 이체를 약속하거나 승인하는 것을 금지하는 법률 포함)을 총칭한다.",KC_SMF-#86775-v3-_KTR_ 주식매매계약서 (Pro-Seller_ 100%_ Price Adjustment(Tax Indemnification)_ Job Security_ W&I Insurance_ 대상회사 1) _Execution_
T0065,DEFINITION,SPA,주식매매계약서(SPA)에서 '자금세탁방지법령'이란?,"(i) 한국의 특정 금융거래정보의 보고 및 이용 등에 관한 법률 및 범죄수익은닉의 규제 및 처벌 등에 관한 법률, (ii) 1970년 미국 통화 및 대외거래신고법(U.S. Currency and Foreign Transactions Reporting Act of 1970)(개정본 포함)의 금융기록 보존 및 보고 요건 (iii) 이외에 모든 관련 자금세탁방지법령과 관련 금융기록 보존 및 보고 요건 및 그에 따른 규칙과 규정, 및 이와 관련되거나 유사한 기타 규칙, 규정 또는 지침(각 경우 대상회사들, 그 계열회사나 매수인에 대한 관할권을 가지는 정부당국이 발표, 관리 또는 시행하거나 대상회사들이나 그 계열회사나 매수인에게 적용되는 요건) 포함)을 총칭한다.",KC_SMF-#86775-v3-_KTR_ 주식매매계약서 (Pro-Seller_ 100%_ Price Adjustment(Tax Indemnification)_ Job Security_ W&I Insurance_ 대상회사 1) _Execution_
T0066,DEFINITION,SPA,주식매매계약서(SPA)에서 '비밀정보'란?,"대상회사와 관련된 여하한 형식의 기밀에 해당하는 모든 전유적˙비공개적 정보((재정 등) 상태, 자산, 채무, 사업, 운영, 고객 및 전망 포함), 본 계약, 본 계약에 따라 예정된 거래, 및 당사자들과 그 각 계열사에 대한 비공개 정보(해당 인들이 본 계약에 따라 예정된 거래에 관여하고 있는지 여부를 포함하되 그에 한정되지 않음)를 의미한다. 비밀정보는 (i) 대중이 일반적으로 제공받았거나 제공받게 되었거나 (ii) 공개 전 수령 당사자가 이미 알고 있거나 알게 된 정보(각 경우는 비밀유지약정 위반에 해당하지 않아야 함)는 포함하지 아니한다. 명확히 하자면 비밀정보는 본 계약이 존속한다는 사실과 그 조건을 포함한다.",KC_SMF-#86775-v3-_KTR_ 주식매매계약서 (Pro-Seller_ 100%_ Price Adjustment(Tax Indemnification)_ Job Security_ W&I Insurance_ 대상회사 1) _Execution_
T0067,DEFINITION,SPA,주식매매계약서(SPA)에서 '희석기준(diluted basis)'이란?,"지분율을 계산함에 있어서, 전환사채, 신주인수권부사채와 같이 보통주로 전환, 행사 또는 교환될 수 있는 기발행 지분 관련 증권이 모두 보통주로 전환, 행사 또는 교환된 상태를 기준으로 하는 것을 의미한다. 명확하게 하기 위하여, 주식매수선택권(stock option)은 제외하며, 본건 사채인수계약에 따라 발행되는 전환사채 및 신주인수권부사채는 포함한다.",KC_SMF-#86775-v3-_KTR_ 주식매매계약서 (Pro-Seller_ 100%_ Price Adjustment(Tax Indemnification)_ Job Security_ W&I Insurance_ 대상회사 1) _Execution_
T0068,DEFINITION,SPA,주식매매계약서(SPA)에서 'EBITDA'이란?,"연결 기준으로 어느 계산기간과 관련하여 각 사별로 일관되게 적용되어 온 한국채택국제회계기준(K-IFRS) 및 관리손익 산정방식에 따라 계산되는 것으로서, 당해 계산기간에 대한 손익계산서상의 영업이익(EBIT)과 현금흐름표상의 감가상각비, 무형자산상각비 및 투자부동산상각비의 합계액을 의미한다.",KC_SMF-#86775-v3-_KTR_ 주식매매계약서 (Pro-Seller_ 100%_ Price Adjustment(Tax Indemnification)_ Job Security_ W&I Insurance_ 대상회사 1) _Execution_
T0069,DEFINITION,SPA,주식매매계약서(SPA)에서 '거래종결 매매대금'이란?,조정 전 매매대금에 거래종결 조정금액을 가산하거나 공제한 금액을 의미한다.,KC_SMF-#86775-v3-_KTR_ 주식매매계약서 (Pro-Seller_ 100%_ Price Adjustment(Tax Indemnification)_ Job Security_ W&I Insurance_ 대상회사 1) _Execution_
T0070,DEFINITION,SPA,주식매매계약서(SPA)에서 '계열회사'란?,"독점규제 및 공정거래에 관한 법률(""공정거래법"")상의 계열회사를 의미한다.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0071,DEFINITION,SPA,주식매매계약서(SPA)에서 '기준재무제표'란?,"기준일 현재 대상회사에 관한 재무상태표, 손익계산서, 포괄손익계산서, 자본변동표, 현금흐름표, 이에 대한 주석 및 외부감사인의 감사보고서를 의미한다.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0072,DEFINITION,SPA,주식매매계약서(SPA)에서 '매도인이 알고 있는 한'이란?,"매도인, 대상회사에 소속된 [?]급 이상의 임원 및/또는 해외 종속회사(이하에서 정의함)에 소속된 [?]급 이상의 임직원이 실제로 알고 있었거나 합리적으로 요구되는 주의를 기울였다면 알 수 있었던 것을 의미한다. 단, 본 정의규정의 목적상 특정 임(직)원의 직급은 소속 회사에서의 직급이 아닌 매도인(즉, 본사)에서의 직급을 기준으로 하며, 해당 임(직)원이 수/발신하거나(to/cc 포함, 이하 같음) 작성/검토한 서신, 이메일, 기안서, 보고서 등 문서에 기재되어 있는 사항(소속 회사의 위임전결규정 기타 내규에 명시된 바에 따라 해당 임(직)원이 수/발신하였어야 하거나 작성/검토하였어야 하는 사항도 포함함)은 해당 사람이 알고 있었던 것으로 본다.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0073,DEFINITION,SPA,주식매매계약서(SPA)에서 '법령'이란?,"각 해당 시점에 있어 유효하게 시행 중이고 법규성을 가지는 대한민국 또는 외국의 헌법, 법률, 조약, 협약, 명령, 규칙, 조례, 행정규칙 또는 정부기관(이하에서 정의함)에 의하여 시행, 채택, 공포 또는 적용되는 이와 유사한 규칙, 규정과 대한민국 또는 외국 법원의 판결, 결정, 명령 및 정부기관의 명령을 의미한다.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0074,DEFINITION,SPA,주식매매계약서(SPA)에서 '법적 절차'란?,"청구, 소송절차, 신청, 화해, 중재, 집행절차, 정부기관의 행정심판절차, 청문절차, 조사 또는 수사절차 및 이에 부수하는 제반 절차를 의미한다.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0075,DEFINITION,SPA,주식매매계약서(SPA)에서 '부담'이란?,"소유권, 수익권, 사용권, 의결권, 처분권 등 각종 권리에 대한 (근)저당권, 질권, 유치권 등의 담보권 및 지상권, 지역권 전세권 등의 용익물권, 옵션, 우선권, 우선매수권, 의결권 위임, 환매특약, 신탁, 압류, 가압류, 취득시효, 선의취득 등 권리 상실 사유, 처분금지, 동반매각요구권(drag-along right), 동반매도청구권(tag-along right) 기타 이와 유사한 법률상 또는 계약상 제약 또는 제한을 의미한다.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0076,DEFINITION,SPA,주식매매계약서(SPA)에서 '세금'이란?,"정부기관이 부과하거나 정부기관에 납부하는 국세, 지방세, 관세 기타 이와 유사한 성격을 갖는 모든 종류의 세금, 공과금, 부담금(건강보험료, 고용보험료 등 사회보장 또는 사회보험 분담금을 포함함), 수수료, 가산세, 가산금, 추징세, 원천징수세 및 이와 관련된 부대비용을 의미한다.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0077,DEFINITION,SPA,주식매매계약서(SPA)에서 '영업일'이란?,"대한민국에서 시중은행이 영업을 위하여 개점한 날(즉, 토요일, 일요일이나 대한민국의 공휴일을 제외한 날)을 의미한다.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0078,DEFINITION,SPA,주식매매계약서(SPA)에서 '우려'란?,"법적 절차의 원인이나 기타 다른 문제들이 서면(전자문서를 포함함, 이하 같음) 또는 구두 기타 형태로 주장 또는 제기되었거나, 주장 또는 제기될 것이라는 점을 표시하는 서면 또는 구두 기타 통지가 있는 경우 및 그러한 통지가 없더라도 제반사정을 종합적으로 고려할 때에 합리적으로 법령 위반이나 분쟁 발생 가능성이 예상되는 경우를 의미한다.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0079,DEFINITION,SPA,주식매매계약서(SPA)에서 '정부기관'이란?,"관계 법령에 따라 본 계약의 당사자와 대상회사 및/또는 해외 종속회사를 구속할 수 있는 권한이 있는 대한민국 또는 외국의 정부, 광역 또는 기초 지방자치단체, 그 하위 행정기관 또는 국내외의 기타 정부기관, 사법기관, 공공기관, 감독기관(한국거래소와 같이 법령에 근거한 자율감독기관을 포함함), 관청, 부, 국, 위원회와 기타 단체 또는 중재기관을 의미한다.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0080,DEFINITION,SPA,주식매매계약서(SPA)에서 '정부승인'이란?,"어떤 사항에 대하여, 동 사항에 대한 정부기관의 허가, 인가, 면허, 승인, 등록 또는 정부기관에 대한 신고 등을 의미한다.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0081,DEFINITION,SPA,주식매매계약서(SPA)에서 '중대한 부정적인 영향'이란?,"개별적으로 또는 다른 사유와 함께 전체적으로, 대상회사 및 해외 종속회사의 영업, 자산, 부채, 재무상태 및 경영상태에 중대한 부정적인 영향을 초래하고, 그로 인해 대상회사 및 해외 종속회사의 전체 총자산이 [■]% 이상 감소하거나 감소할 것이 명백히 예상되는 일체의 사유를 의미한다(명확히 하면, 중대한 부정적인 영향을 판단함에 있어서는 대상회사나 해외 종속회사 별로 그 효과를 판단하지 않고, 총체적인 관점에서 대상회사 및 해외 종속회사 전체의 영업, 자산, 부채, 재무상태 및 경영상태에 미치는 영향을 기준으로 그 효과를 판단함). 다만, 다음 각 사항 또는 다음 각 사항에 기인하는 경우는 중대한 부정적인 영향에 해당하는 것으로 보지 아니하며, 중대한 부정적인 영향의 발생 여부를 판단함에 있어 고려되지 아니한다: (a) 물가, 경기변동, 환율 변동 등 거시경제지표를 반영하는 전반적인 경제상황 변동 등 대한민국 또는 국제 경제상황의 변화 및 대상회사 또는 해외 종속회사가 속한 산업분야나 시장의 일반적인 변화, (b) 전쟁 또는 천재지변, 자연재해, 팬데믹의 발생, 계속 및 악화, (c) 금융시장 또는 증권시장의 변화(금리, 환율, 주가, 지수의 변경을 포함함), (d) 법령, 일반적으로 인정되는 회계원칙이나 회계기준 또는 그 해석의 변경, (e) 본 계약이나 본건 거래의 발표, 보도나 공시 또는 본 계약에서 예정한 조치나 의무의 이행, 기타 매수인의 요구, 요청, 동의에 따라 행하여진 사항, (f) 본 계약 체결 시점에 매수인이 인지하였거나 매수인이 인지하기에 합리적으로 충분한 내용 및 방법, 맥락으로 공개된 사항, 및 (g) 거래종결일 이전에 치유하는 사항. 단, 위 (a) 및 (c)의 경우에는, 해당 사항 또는 해당 사항에 기인하는 경우가 대상회사 및/또는 해외 종속회사와 동종 사업을 영위하는 다른 회사에 비해 대상회사 및 해외 종속회사의 총체적인 영업, 자산, 부채, 재무상태 및 경영상태에 대해 현저하게 불비례적으로 중대한 부정적인 영향을 초래하는 경우에는 중대한 부정적인 영향이 있는 것으로 해석한다.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0082,DEFINITION,SPA,주식매매계약서(SPA)에서 '중요계약'이란?,"본 계약 체결일 현재 유효한 것으로서, 대상회사 또는 해외 종속회사가 일방 당사자인 다음 각 목의 1과 같은 계약을 의미한다. 아래 각 목의 금액 기준을 적용함에 있어 외화로 표시된 금액은 본 계약 체결일 직전 영업일 기준 서울외국환중개 고시환율을 적용한 원화 금액을 기준으로 한다. (i) 물품의 경우 구매대금이 금 [■]원을 초과하거나 공급대금이 금 [■]원을 초과하는 구매 또는 공급계약, 용역의 경우 구매대금이 금 [■]원을 초과하거나 공급대금이 금 [■]원을 초과하는 구매 또는 공급계약(단, 물품 또는 용역의 단가 또는 수량이 확정되지 아니한 계속적 공급계약의 경우에는 당해 거래처에 대한 [■]년 사업연도 중 해당 물품 또는 용역의 매출액 또는 매입액을 기준으로 함); (ii) 보증금 및 연 임료(또는 연 리스료)를 합산한 금액이 금 [■]원을 초과하는 부동산, 동산, 기타 자산의 임대차 또는 리스에 관한 계약; (iii) 금전의 차입 또는 대여계약; (iv) 특허권, 상표권, 실용신안권, 디자인, 저작권 기타 지식재산권의 양수도 및/또는 라이센스에 관한 계약; (v) 특수관계인(이하에서 정의함)과 체결한 계약; (vi) 연간 금 [■]원을 초과하는 자본적 지출을 요하는 계약; (vii) 자산을 담보로 제공하거나 제3자로부터 담보를 제공 받는 계약; (viii) 보증을 제공하거나 보증을 제공 받는 계약; (ix) 부동산, 기타 고정자산의 구매 또는 처분에 관한 계약으로서, 구매 또는 처분의 대가가 금 [■]원을 초과하는 계약; (x) 본 계약의 체결 또는 본건 거래의 이행이 대상회사 및/또는 해외 종속회사의 계약 위반 또는 불이행을 구성하거나, 기한의 이익을 상실시키거나, 상대방에게 해제, 해지권을 부여 또는 동의권을 발생시키는 계약; (xi) 영업활동을 사업범위나 지역 측면에서 제한하는 계약; 독점적·배타적 거래조항, 경업금지조항 또는 유인금지조항을 포함하고 있는 계약; (xii) 회사의 합병, 분할, 주식의 포괄적 교환 또는 이전, 주식양수도, 영업양수도 기타 이에 준하는 조직개편 또는 기업인수합병(합작투자 포함)에 관한 계약; (xiii) 단체협약, 취업규칙, 노사협약 등 명칭을 불문하고 노동조합 또는 직원들과 집단적으로 체결한 계약; (xiv) 소송 또는 고객 클레임과 관련된 화해 또는 조정 계약으로서, 청구금액이 금 [■]원 이상인 계약; (xv) 위 (i)목 내지 (xiv)목에 해당하지 않는 것으로서 계약의 제목과 유형을 불문하고 대금 등 계약금액(계속적 계약의 경우 연간 대금을 의미하며, 연간 대금이 명시되어 있지 않은 경우 본 계약 체결일을 기준으로 최근 1년간 지급의무 또는 지급청구권이 발생한 금원을 의미함)이 금 [■]원 이상인 계약.",SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
T0083,DEFINITION,SPA,주식매매계약서(SPA)에서 '진술 및 보장 보험'이란?,매도인의 진술 및 보장 위반으로 인한 매수인의 손해 위험을 부보하기 위하여 본 계약 체결일에 매수인이 진술 및 보장 보험회사를 통하여 가입한 진술보장보험을 의미한다.,SY_WORK-#7594777-v4-_LGHH_ M&A - 국문 표준 SPA 양식 - Buyer Friendly Version
