task,type,input,output,source
COMPLETION_HARD,,"제4조 투자자의 동반매도청구권(Tag-Along Right) 
(1) 제2조에 따라 투자자가 이해관계인의 주식의 양도등에 대하여 동의하였고, 제3조에 따른 우선매수권을 행사하지 않은 투자자는 그와 같이 주식을 양도하는 이해관계인에 대하여 투자자가 보유한 회사 주식의 전부 또는 일부(“동반매도주식”)를 공동으로 이해관계인과 실질적으로 동일한 거래조건에 매도하는 거래에 참여할 수 있는 권리(“동반매도청구권”)를 가진다. 명확히 하면, 제3조에 따른 우선매수권을 행사하지 않은 투자자가 본 조에 따른 동반매도청구권을 행사함에 따라 진행되는 동반매도거래에는 제2조 내지 제3조는 적용되지 아니한다.
(..)
(3) 제안주식에 대해 제3조에 따른 우선매수권이 행사되지 않고 이해관계인이 동반매도청구통지를 받은 경우, 이해관계인은 동반매도주식을 제안주식의 주당 양도가격과 동일한 가격 및 제안주식의 그 밖의 양도조건과 실질적으로 동일한 조건으로 제3자 매수인에게 양도하여야 한다. 단, 이해관계인은 동반매도주식의 전부를 제3자 매수인에게 매도하기 전까지 ","자신의 제안주식을 매도할 수 없고, 제안주식과 동반매도주식의 합계가 제3자 매수인이 매수하고자 하는 주식의 총수보다 큰 경우, 동반매도주식을 우선적으로 양도하여야 한다. ",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
COMPLETION_EASY,,"(3) 적격 IPO 불발의 결과. 적격 간주 IPO 및 적격 IPO 중 어느 것도 완료되지 않을 경우,
1. 적격 IPO 이행기한 이후 언제든지 수시로, 지배주주는 당시 소수주주가 보유하는 본건 주식의 전부 또는 일부를 매수할 권리(“콜옵션”)를 갖고 소수주주는 이를 매도할 의무를 갖되, 지배주주가 콜옵션을 행사하더라도 당시 소수주주가 보유하는 매도대상주식의 수가 당시 발행된 본건 주식 총수의 [?]% 이하가 되지 않는 경우에 한한다(이하 본 항에서 “제안주식”). 이 때 매수 가격은 소수주주가 제안주식에 대하여 [BLANK]을 실현할 수 있는 금액으로 하고, 지배주주는 (i) 지배주주가 콜옵션을 행사할 의사, (ii) 매수할 본건 주식의 수, (iii) 행사가격 등을 기재한 서면 통지(“콜옵션 행사통지”)를 소수주주에게 송부함으로써 콜옵션을 행사한다. 
",콜옵션 IRR,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
COMPLETION_MEDIUM,,"(3) 적격 IPO 불발의 결과. [BLANK],
1. 적격 IPO 이행기한 이후 언제든지 수시로, 지배주주는 당시 소수주주가 보유하는 본건 주식의 전부 또는 일부를 매수할 권리(“콜옵션”)를 갖고 소수주주는 이를 매도할 의무를 갖되, 지배주주가 콜옵션을 행사하더라도 당시 소수주주가 보유하는 매도대상주식의 수가 당시 발행된 본건 주식 총수의 [?]% 이하가 되지 않는 경우에 한한다(이하 본 항에서 “제안주식”). 이 때 매수 가격은 소수주주가 제안주식에 대하여 콜옵션 IRR을 실현할 수 있는 금액으로 하고, 지배주주는 (i) 지배주주가 콜옵션을 행사할 의사, (ii) 매수할 본건 주식의 수, (iii) 행사가격 등을 기재한 서면 통지(“콜옵션 행사통지”)를 소수주주에게 송부함으로써 콜옵션을 행사한다. 콜옵션 행사통지가 발송됨과 동시에 제안주식의 매매에 관한 확정계약이 체결된 것으로 간주한다. 콜옵션의 행사에 따른 제안주식 매매 거래(“콜옵션 거래”)는 콜옵션 행사통지가 송부된 날로부터 [?]일, 그리고 관련 법률상 요구되는 바에 따라 필요한 정부승인(지배주주는 이를 신속히 취득하기 위하여 최선의 노력을 다하여야 함)을 취득하는 데 필요한 시간을 더한 기간 이내에 종결되어야 한다. 
",적격 간주 IPO 및 적격 IPO 중 어느 것도 완료되지 않을 경우,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
COMPLETION_HARD,,"(3) 적격 IPO 불발의 결과. 적격 간주 IPO 및 적격 IPO 중 어느 것도 완료되지 않을 경우,
1. 적격 IPO 이행기한 이후 언제든지 수시로, 지배주주는 당시 소수주주가 보유하는 본건 주식의 전부 또는 일부를 매수할 권리(“콜옵션”)를 갖고 소수주주는 이를 매도할 의무를 갖되, 지배주주가 콜옵션을 행사하더라도 당시 소수주주가 보유하는 매도대상주식의 수가 당시 발행된 본건 주식 총수의 [?]% 이하가 되지 않는 경우에 한한다(이하 본 항에서 “제안주식”). 이 때 매수 가격은 ","소수주주가 제안주식에 대하여 콜옵션 IRR을 실현할 수 있는 금액으로 하고, 지배주주는 (i) 지배주주가 콜옵션을 행사할 의사, (ii) 매수할 본건 주식의 수, (iii) 행사가격 등을 기재한 서면 통지(“콜옵션 행사통지”)를 소수주주에게 송부함으로써 콜옵션을 행사한다. 콜옵션 행사통지가 발송됨과 동시에 제안주식의 매매에 관한 확정계약이 체결된 것으로 간주한다. 콜옵션의 행사에 따른 제안주식 매매 거래(“콜옵션 거래”)는 콜옵션 행사통지가 송부된 날로부터 [?]일, 그리고 관련 법률상 요구되는 바에 따라 필요한 정부승인(지배주주는 이를 신속히 취득하기 위하여 최선의 노력을 다하여야 함)을 취득하는 데 필요한 시간을 더한 기간 이내에 종결되어야 한다. 콜옵션 거래는 회사의 주된 사무소 또는 그 외 당사자들이 합의하는 장소에서 종결되는 것으로 하며, 해당 종결 당시 소수주주는 제안주식을 표창하는 주권을 교부하여야 하고, 해당 제안주식은 본 계약상 발생하는 담보 및 지배주주에 귀책사유가 있는 담보를 제외한 어떠한 담보도 없는 상태여야 한다. 당사자들이 달리 합의하지 않는 한, 지배주주는 콜옵션 거래의 종결 당시 자신이 매수한 제안주식에 대한 대금을 즉시 이용 가능한 자금의 형태로 전액 납부하여야 한다. 그러한 종결 당시 당사자들은 달리 합리적으로 필요하거나 적절한 경우 추가 서류를 체결 및/또는 교부하여야 한다. 제안주식은 엄격하게 있는 그대로(strict as-is basis) 매매하기로 하며, 콜옵션 거래 종결 이후 소수주주는 콜옵션 거래와 관련하여 어떠한 책임 또는 의무도 부담하지 않는다. 단, 소수주주는 제안주식에 대한 수권, 집행, 집행가능성, 상충 부존재, 소유권과 관련하여 진술, 보장, 면책할 의무를 부담한다.
",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
COMPLETION_EASY,,"제  9  조 [BLANK] 
각 당사자는 본 계약일 및 거래 종결일 현재 아래와 같이 상대방 당사자에게 진술 및 보장한다. 
9.1. 설립 및 능력.  각 당사자는 (i) 대한민국의 법령에 따라 적법하게 설립되고 유효하게 존속하며, (ii) 현재 영위하고 있는 사업을 수행하는데 필요한 모든 회사법상의 능력 및 자격을 가지고 있다.
9.2. 계약의 승인; 집행가능성.
(a) 각 당사자는 본 계약의 체결 및 이행에 필요한 모든 회사법상의 능력과 자격을 가지고 있다. 본 계약의 체결 및 이행은 해당 당사자의 모든 필요한 내부절차에 따라 적법하게 승인되었다.
(b) 본 계약은 각 당사자에 의하여 적법하게 체결되었고, 해당 당사자에 대하여 본 계약의 조건들에 따라 집행할 수 있는 유효하고, 구속력이 있는 의무를 구성한다. 단, 본 계약의 집행가능성은 파산, 도산, 사해행위, 회사정리, 지급유예 기타 채권자들의 권리에 관계되거나 채권자들의 권리에 일반적으로 영향을 주는 유사한 법령에 의하여 제한될 수 있다. 
",당사자들의 진술 및 보장 ,\\KCSDATA2\0Sn$\Saltlux\SMF\센드 완료\삼표_동양시멘트
COMPLETION_MEDIUM,,"제  9  조 당사자들의 진술 및 보장 
각 당사자는 본 계약일 및 거래 종결일 현재 아래와 같이 상대방 당사자에게 진술 및 보장한다. 
9.1. 설립 및 능력.  각 당사자는 (i) 대한민국의 법령에 따라 적법하게 설립되고 유효하게 존속하며, (ii) 현재 영위하고 있는 사업을 수행하는데 필요한 모든 회사법상의 능력 및 자격을 가지고 있다.
9.2. 계약의 승인; 집행가능성.
(a) 각 당사자는 본 계약의 [BLANK]을 가지고 있다. 본 계약의 체결 및 이행은 해당 당사자의 모든 필요한 내부절차에 따라 적법하게 승인되었다.
(b) 본 계약은 각 당사자에 의하여 적법하게 체결되었고, 해당 당사자에 대하여 본 계약의 조건들에 따라 집행할 수 있는 유효하고, 구속력이 있는 의무를 구성한다. 단, 본 계약의 집행가능성은 파산, 도산, 사해행위, 회사정리, 지급유예 기타 채권자들의 권리에 관계되거나 채권자들의 권리에 일반적으로 영향을 주는 유사한 법령에 의하여 제한될 수 있다. 
9.3. 법령, 정관, 정부승인 등에 위반되지 아니함. 각 당사자에 의한 본 계약의 체결 및 이행은 (i) 각 당사자의 정관에 위반되거나, (ii) 각 당사자에게 적용되는 법령 또는 정부승인에 위반되거나, (iii) 각 당사자가 당사자인 중요한 계약 또는 해당 당사자가 부담하고 있는 중요한 의무와 관련하여 그 위반 또는 의무불이행을 구성하거나 기한의 이익을 상실시키지 아니한다(상대방 계약당사자, 채권자 또는 제3자의 통지, 결정 또는 결의나 일정 기간의 경과시 위반 또는 의무불이행을 구성하거나 기한의 이익이 상실되는 경우를 포함한다).  
",체결 및 이행에 필요한 모든 회사법상의 능력과 자격,\\KCSDATA2\0Sn$\Saltlux\SMF\센드 완료\삼표_동양시멘트
COMPLETION_HARD,,"제  9  조 당사자들의 진술 및 보장 
각 당사자는 본 계약일 및 거래 종결일 현재 아래와 같이 상대방 당사자에게 진술 및 보장한다. 
9.1. 설립 및 능력.  각 당사자는 (i) 대한민국의 법령에 따라 적법하게 설립되고 유효하게 존속하며, (ii) 현재 영위하고 있는 사업을 수행하는데 필요한 모든 회사법상의 능력 및 자격을 가지고 있다.
9.2. 계약의 승인; 집행가능성.
(a) 각 당사자는 본 계약의 체결 및 이행에 필요한 모든 회사법상의 능력과 자격을 가지고 있다. 본 계약의 체결 및 이행은 해당 당사자의 모든 필요한 내부절차에 따라 적법하게 승인되었다.
(b) 본 계약은 각 당사자에 의하여 적법하게 체결되었고, 해당 당사자에 대하여 본 계약의 조건들에 따라 집행할 수 있는 유효하고, 구속력이 있는 의무를 구성한다. 단, 본 계약의 집행가능성은 파산, 도산, 사해행위, 회사정리, 지급유예 기타 채권자들의 권리에 관계되거나 채권자들의 권리에 일반적으로 영향을 주는 유사한 법령에 의하여 제한될 수 있다. 
9.3. 법령, 정관, 정부승인 등에 위반되지 아니함. 각 당사자에 의한 본 계약의 체결 및 이행은 (i) 각 당사자의 정관에 위반되거나, (ii) 각 당사자에게 적용되는 법령 또는 정부승인에 위반되거나, (iii) 각 당사자가 당사자인 중요한 계약 또는 해당 당사자가 부담하고 있는 중요한 의무와 관련하여 ","그 위반 또는 의무불이행을 구성하거나 기한의 이익을 상실시키지 아니한다(상대방 계약당사자, 채권자 또는 제3자의 통지, 결정 또는 결의나 일정 기간의 경과시 위반 또는 의무불이행을 구성하거나 기한의 이익이 상실되는 경우를 포함한다).  ",\\KCSDATA2\0Sn$\Saltlux\SMF\센드 완료\삼표_동양시멘트
COMPLETION_EASY,,"제12조 기존주주의 주식매도청구권(Call Option)
(1) 주식매도청구권.  다음 각 호 중 하나의 사유가 발생한 경우(각 사유를 통틀어 “교착상태”) 또는 제11조 제2항 제3호의 경우, 기존주주는 투자자에 대하여 본 조에 따라 회사 발행 주식을 매도할 것을 청구할 수 있다.
1. 회사의 [BLANK] 또는 [BLANK]에서 특정 안건이 연속으로 [?]회 이상 상정되었다가 부결(또는 보류)된 경우
(2) 기존주주는 교착상태가 발생한 날로부터 [?]주가 되는 날까지, 주식매도청구권을 행사한다는 의사를 기재한 서면(“콜옵션 행사통지”)을 투자자에게 통지함으로써, 투자자가 보유하는 회사 주식 전부(“콜옵션 대상주식”)를 매수할 수 있는 권리(“콜옵션”)를 갖는다. ","이사회, 주주총회",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - 50_50
COMPLETION_MEDIUM,,"제12조 기존주주의 주식매도청구권(Call Option)
(1) 주식매도청구권.  다음 각 호 중 하나의 사유가 발생한 경우(각 사유를 통틀어 “교착상태”) 또는 제11조 제2항 제3호의 경우, 기존주주는 투자자에 대하여 본 조에 따라 회사 발행 주식을 매도할 것을 청구할 수 있다.
1. 회사의 이사회 또는 주주총회에서 특정 안건이 연속으로 [?]회 이상 상정되었다가 부결(또는 보류)된 경우
(2) 기존주주는 교착상태가 발생한 날로부터 [?]주가 되는 날까지, 주식매도청구권을 행사한다는 의사를 기재한 서면(“콜옵션 행사통지”)을 투자자에게 통지함으로써, 투자자가 보유하는 [BLANK]를 매수할 수 있는 권리(“콜옵션”)를 갖는다. ",회사 주식 전부(“콜옵션 대상주식”),SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - 50_50
COMPLETION_HARD,,"제12조 기존주주의 주식매도청구권(Call Option)
(1) 주식매도청구권.  다음 각 호 중 하나의 사유가 발생한 경우(각 사유를 통틀어 “교착상태”) 또는 제11조 제2항 제3호의 경우, 기존주주는 투자자에 대하여 본 조에 따라 회사 발행 주식을 매도할 것을 청구할 수 있다.
1. 회사의 이사회 또는 주주총회에서 특정 안건이 연속으로 [?]회 이상 상정되었다가 부결(또는 보류)된 경우
(2) 기존주주는 교착상태가 발생한 날로부터 [?]주가 되는 날까지, 주식매도청구권을 행사한다는 의사를 기재한 서면(“콜옵션 행사통지”)을 투자자에게 통지함으로써, 투자자가 보유하는 회사 주식 전부(“콜옵션 대상주식”)를 매수할 수 있는 권리(“콜옵션”)를 갖는다. 
(3) 매매대금.  콜옵션 행사에 따른 매매대금은 (i) (가) 교착상태로 인한 콜옵션 행사의 경우 콜옵션에 따른 거래가 완료되는 시점을 기준으로","계산한 투자자의 콜옵션 대상주식에 관한 주금납입액의 [?]%가 되도록 하는 금액, 또는 (나) 제11조 제2항 제3호에 따른 콜옵션 행사의 경우 콜옵션에 따른 거래가 완료되는 시점을 기준으로 계산한 투자자의 콜옵션 대상주식에 관한 주금납입액의 [?]% 금액, 및 (ii) 콜옵션 대상주식에 대하여 상호 합의에 따라 정한 국내 상위 4대(소속 회계사 수를 기준으로 하고, 이하 같음) 회계법인 중 하나의 회계법인이 산정한 공정가치 중 높은 금액(“콜옵션 대금”)으로 한다. 다만, 당사자들 사이에서 회계법인에 대한 합의가 콜옵션 행사통지를 투자자가 수령한 날로부터 [?]일 이내에 이루어지지 아니하는 경우 기존주주가 단독으로 국내 상위 4대 회계법인 중 하나의 회계법인을 선정할 수 있다.",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - 50_50
COMPLETION_EASY,,"(3) 동의 사항. 본 계약 기간 동안, 회사에 의해 또는 회사를 대리하여 [BLANK]의 [BLANK] 없이 부록 2에 기재된 어떠한 행위도 취해질 수 없다. ","소수주주, 사전 서면 동의",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
COMPLETION_HARD,,"(3) 동의 사항. 본 계약 기간 동안, 회사에 의해 또는 회사를 대리하여 소수주주의 사전 서면 동의 없이 부록 2에 기재된 어떠한 행위도 취해질 수 없다. 
부록 2. 동의 사항
? 신규 지분증권의 발행(적격 IPO, 적격 간주 IPO 또는 소수주주 주도 IPO에서 발행되는 지분증권은 포함되지 않음)
? ","?단일 거래 또는 일련의 관련 거래에서 전체 (i) 자산총액, (ii) 매출총액 및 (iii) 소수주주에게 동의요청서가 교부되는 날의 직전일 기준 회사의 부채총액 중 낮은 금액의 [?]%에 해당하는 금액을 초과하는 회사의 주요 자산의 매각, 임대, 양도, 독점 라이선스 또는 기타 처분
?단일 거래 또는 일련의 관련 거래에서 전체 (i) 자산총액, (ii) 매출총액 및 (iii) 소수주주에게 동의요청서가 교부되는 날의 직전일 기준 회사의 부채총액 중 낮은 금액의 [?]%에 해당하는 금액을 초과하는 개별 자본 지출
?단일 거래 또는 일련의 관련 거래에서 전체 (i) 자산총액, (ii) 매출총액 및 (iii) 소수주주에게 동의요청서가 교부되는 날의 직전일 기준 회사의 부채총액 중 낮은 금액의 [?]%에 해당하는 금액을 초과하는 대출, 보증, 선급금 또는 출자금(단, 만기가 1년 이내인 단기 대출 제외)
?과거 관행에 부합하는 통상적인 사업 과정에서의 정상거래(예를 들어, 원재료, 재공품, 완제품 및 제품의 판매 및 구매, 상표의 사용, 허여 또는 라이선스 제공, 연구개발, 공정관리, 기술지원, 유틸리티 제공, 토지, 시설 또는 건물의 임대, 보관 및 사업 운영과 관련된 기타 서비스 등)을 제외하고, 단일 거래 또는 일련의 관련 거래에서 총 [?]억원을 초과하는 회사의 계열회사와의 거래
?상법상 (a) 주주총회에 출석한 의결권 있는 주식 총수의 3분의 2 이상 및 (b) 의결권 있는 발행주식의 3분의 1 이상의 주식을 보유한 주주들의 찬성에 의한 주주 승인이 필요한 것으로서 아래 명시된 사항:
(i) 정관의 개정(제434조);
(ii) 회사 사업의 전부 또는 중요한 일부의 양도에 대한 승인(제374조 제1항 제1호)
(iii) 전체 사업 임대, 해당 사업에 대한 경영권 부여, 해당 사업과 관련된 모든 손익을 제3자와 분담하는 계약 또는 이와 유사한 계약의 체결, 변경, 해지 등의 승인(제374조 제1항 제2호)
(iv) 회사의 사업에 중대한 영향을 미치는 다른 회사의 사업의 전부 또는 일부의 취득에 대한 승인(제374조 제1항 제3호)
(v) 이사 또는 감사의 해임(제385조 제1항)
(vi) 주식의 액면미달 발행(제417조 제1항)
(vii) 납입 자본금의 감소(제438조 제1항)
(viii) 회사의 해산 및 청산(제518조)
(ix) 합병 또는 분할에 대한 승인(제522조 제3항, 제530조의3 제2항)
(x) 주식의 포괄적 교환에 대한 승인(제360조의3 제2항)
(xi) 주식의 포괄적 이전에 대한 승인(제360조의16 제2항)
(xii) 주식매수선택권의 부여(제340조의2 제1항)
(xiii) 정관에 명시되지 않은 제3자에 대한 전환사채 발행 시 전환 조건 및 내용에 대한 결정(제513조 제3항)
(xiv) 정관에 명시되지 않은 제3자에 대한 신주인수권부사채 발행 시 신주인수권의 내용에 대한 결정(제516조의2 제4항)
(xv) 해산 후 회사의 계속(제519조)
(xvi) 주식의 분할(제329조의2)
",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
COMPLETION_MEDIUM,,"지배주주는 IPO를 추진함에 있어서, 관련 법령 또는 상장 관련 기관의 규정이 허용하는 범위 내에서 소수주주와의 협의를 통하여 소수주주가 보유하는 회사 주식의 구주 매출이 지배주주(그 특수관계인 포함)에 우선하여 이루어지고, 그 수량이 최대화될 수 있도록 최대한 노력하기로 한다. 또한, 지배주주는 IPO와 관련하여, 관련 법령 및 상장 관련 기관의 규정이 허용하는 범위 내에서, 소수주주가 보유하는 회사 주식의 전부 또는 일부에 대하여 의무보유(보호예수)가 [BLANK] 최대한 노력하기로 한다. ","요구되지 아니하도록 하거나 요구된다 하더라도 그 범위(기간, 대상 주식 수 등)가 최소화될 수 있도록",가이드라인
